id,division,name,country,age,rank_raw,rank_type,rank_slot,is_champ,wins,draws,losses,rating,streak,last_fight_date,next_available_date,rating_history,rank_history,is_active
11,Light Heavyweight,Рафаэль Физиев,Азербайджан,32,10,RANKED,10.0,0,0,0,0,1460.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1460.0}]","[{""d"": ""2026-01-01"", ""rank"": 10}]",1
12,Light Heavyweight,Майкл Чендлер,США,39,11,RANKED,11.0,0,0,0,0,1425.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1425.0}]","[{""d"": ""2026-01-01"", ""rank"": 11}]",1
13,Light Heavyweight,Бенэил Дариуш,Иран,35,12,RANKED,12.0,0,0,0,0,1420.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1420.0}]","[{""d"": ""2026-01-01"", ""rank"": 12}]",1
14,Light Heavyweight,Йоэль Альварез,Испания,32,13,RANKED,13.0,0,0,0,0,1430.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1430.0}]","[{""d"": ""2026-01-01"", ""rank"": 13}]",1
15,Light Heavyweight,Грант Доусон,США,31,14,RANKED,14.0,0,0,0,0,1400.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1400.0}]","[{""d"": ""2026-01-01"", ""rank"": 14}]",1
16,Light Heavyweight,Маурисио Руффи,Бразилия,28,15,RANKED,15.0,0,0,0,0,1430.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1430.0}]","[{""d"": ""2026-01-01"", ""rank"": 15}]",1
17,Light Heavyweight,Людовит Клайн,Словакия,30,***,UNRANKED,,0,0,0,0,1350.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1350.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
18,Light Heavyweight,Бобби Грин,США,38,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
19,Light Heavyweight,Игнасио Бахамондес,Чили,27,***,UNRANKED,,0,0,0,0,1380.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1380.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
20,Light Heavyweight,Исмаэль Бонфим,Бразилия,29,***,UNRANKED,,0,0,0,0,1380.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1380.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
21,Light Heavyweight,Джэрад Гордон,США,36,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
22,Light Heavyweight,Винс Пичел,США,42,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
23,Light Heavyweight,Насрат Хакпараст,Морокко,28,***,UNRANKED,,0,0,0,0,1350.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1350.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
24,Light Heavyweight,Вячеслав Борщёв,Россия,33,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
25,Light Heavyweight,Том Нолан,США,24,***,UNRANKED,,0,0,0,0,1350.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1350.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
26,Light Heavyweight,Рузвельт Робертс,США,31,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
27,Light Heavyweight,Матеуш Ребецки,Польша,32,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
28,Light Heavyweight,Крис Данкан,Шотландия,31,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
29,Light Heavyweight,Мыктыбек Оролбай,Киргизия,27,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
30,Light Heavyweight,Тиаго Мойзез,США,29,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
31,Light Heavyweight,Нурулло Алиев,Таджикистан,24,***,UNRANKED,,0,0,0,0,1350.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1350.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
32,Light Heavyweight,Джо Соллеки,США,31,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
33,Light Heavyweight,Диего Феррейра,Бразилия,40,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
34,Light Heavyweight,Назым Садыхов,Азербайджан,30,***,UNRANKED,,0,0,0,0,1350.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1350.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
35,Light Heavyweight,Александр Хернандез,США,32,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
36,Light Heavyweight,Мануэль Торрес,Мексика,30,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
37,Light Heavyweight,Рафа Гарсия,Мексика,30,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
38,Light Heavyweight,Мэйсон Джонс,Уэльс,30,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
39,Light Heavyweight,Содик Юсуфф,Нигерия,31,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
40,Light Heavyweight,Гурам Кутателадзе,Грузия,33,***,UNRANKED,,0,0,0,0,1350.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1350.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
41,Light Heavyweight,Чейс Хупер,США,25,***,UNRANKED,,0,0,0,0,1380.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1380.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
42,Light Heavyweight,Курт Холобау,США,38,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
43,Light Heavyweight,Фарес Зиам,Франция,27,***,UNRANKED,,0,0,0,0,1380.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1380.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
44,Light Heavyweight,Кауе Фернандес,Бразилия,30,***,UNRANKED,,0,0,0,0,1300.0,0,,2026-01-01,"[{""d"": ""2026-01-01"", ""r"": 1300.0}]","[{""d"": ""2026-01-01"", ""rank"": null}]",1
